CCN,Hospital,Address,City,County,State,Zip,Latitude,Longitude
'010049','MEDICAL CENTER ENTERPRISE','400 N EDWARDS STREET','ENTERPRISE','COFFEE','AL','36330',31.31871962,-85.85572777
'010157','SHOALS HOSPITAL','201 WEST AVALON AVENUE','MUSCLE SHOALS','COLBERT','AL','35661',34.74499484,-87.67642554
'010019','HELEN KELLER MEMORIAL HOSPITAL','1300 SOUTH MONTGOMERY AVENUE','SHEFFIELD','COLBERT','AL','35660',34.7464309,-87.69893503
'010148','EVERGREEN MEDICAL CENTER','101 CRESTVIEW AVENUE','EVERGREEN','CONECUH','AL','36401',31.43103942,-86.94130532
'010036','ANDALUSIA REGIONAL HOSPITAL','849 SOUTH THREE NOTCH STREET','ANDALUSIA','COVINGTON','AL','36420',31.29797866,-86.49481435
'010007','MIZELL MEMORIAL HOSPITAL','702 N MAIN ST','OPP','COVINGTON','AL','36467',31.29215952,-86.25539902
'010008','CRENSHAW COMMUNITY HOSPITAL','101 HOSPITAL CIRCLE','LUVERNE','CRENSHAW','AL','36049',31.69311635,-86.26549483
'010035','CULLMAN REGIONAL MEDICAL CENTER','1912 ALABAMA HIGHWAY 157','CULLMAN','CULLMAN','AL','35058',34.19859607,-86.80404846
'010021','DALE MEDICAL CENTER','126 HOSPITAL AVE','OZARK','DALE','AL','36360',31.45135071,-85.63094294
'010118','VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS','1015 MEDICAL CENTER PARKWAY','SELMA','DALLAS','AL','36701',32.43003551,-87.05490515
'010012','DEKALB REGIONAL MEDICAL CENTER','200 MED CENTER DRIVE','FORT PAYNE','DE KALB','AL','35968',34.44060759,-85.75726761
'010034','COMMUNITY HOSPITAL INC','805 FRIENDSHIP ROAD','TALLASSEE','ELMORE','AL','36078',32.53492778,-85.90985375
'010097','ELMORE COMMUNITY HOSPITAL','500 HOSPITAL DRIVE','WETUMPKA','ELMORE','AL','36092',32.55226756,-86.18703624
'010169','ATMORE COMMUNITY HOSPITAL','401 MEDICAL PARK DRIVE','ATMORE','ESCAMBIA','AL','36502',31.01700039,-87.47965812
'010099','D W MCMILLAN MEMORIAL HOSPITAL','1301 BELLEVILLE AVENUE','BREWTON','ESCAMBIA','AL','36426',31.12721365,-87.0724784
'010040','GADSDEN REGIONAL MEDICAL CENTER','1007 GOODYEAR AVENUE','GADSDEN','ETOWAH','AL','35903',34.00938024,-85.96778839
'010046','RIVERVIEW REGIONAL MEDICAL CENTER','600 SOUTH THIRD STREET','GADSDEN','ETOWAH','AL','35901',34.00337851,-86.00409109
'010045','FAYETTE MEDICAL CENTER','1653 TEMPLE AVENUE NORTH','FAYETTE','FAYETTE','AL','35555',33.70769618,-87.82377536
'011302','RED BAY HOSPITAL','211 HOSPITAL ROAD','RED BAY','FRANKLIN','AL','35582',34.45749637,-88.14712256
'010158','RUSSELLVILLE HOSPITAL','15155 HIGHWAY 43','RUSSELLVILLE','FRANKLIN','AL','35653',34.51126099,-87.71760501
'010062','WIREGRASS MEDICAL CENTER','1200 W MAPLE AVENUE','GENEVA','GENEVA','AL','36340',31.04804747,-85.89112587
'010051','GREENE COUNTY HOSPITAL','509 WILSON AVENUE','EUTAW','GREENE','AL','35462',32.8423532,-87.89002236
'010095','HALE COUNTY HOSPITAL','508 GREEN STREET','GREENSBORO','HALE','AL','36744',32.69475011,-87.5869223
'010055','FLOWERS HOSPITAL','4370 WEST MAIN STREET','DOTHAN','HOUSTON','AL','36305',31.23582677,-85.45721341
'010001','SOUTHEAST ALABAMA MEDICAL CENTER','1108 ROSS CLARK CIRCLE','DOTHAN','HOUSTON','AL','36301',31.21537938,-85.36146588
'010061','HIGHLANDS MEDICAL CENTER','380 WOODS COVE ROAD','SCOTTSBORO','JACKSON','AL','35768',34.66168264,-86.04673208
'010114',"'MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM'",'995 9TH AVENUE SOUTHWEST','BESSEMER','JEFFERSON','AL','35021',33.37292122,-86.99182809
'010103','BAPTIST MEDICAL CENTER-PRINCETON','701 PRINCETON AVENUE SOUTHWEST','BIRMINGHAM','JEFFERSON','AL','35211',33.49916637,-86.84589506
'01014F','BIRMINGHAM VA MEDICAL CENTER','700 SOUTH 19TH STREET','BIRMINGHAM','JEFFERSON','AL','35233',33.51184492,-86.8945467
'010139','BROOKWOOD MEDICAL CENTER','2010 BROOKWOOD MEDICAL CENTER DRIVE','BIRMINGHAM','JEFFERSON','AL','35209',33.46306653,-86.77656111
'010018','CALLAHAN EYE HOSPITAL','1720 UNIVERSITY BLVD','BIRMINGHAM','JEFFERSON','AL','35233',33.50314015,-86.80242858
'010056','ST VINCENT'S BIRMINGHAM','810 ST VINCENT'S DRIVE','BIRMINGHAM','JEFFERSON','AL','35205',33.50797326,-86.78874764
'010011','ST VINCENT'S EAST','50 MEDICAL PARK EAST DRIVE','BIRMINGHAM','JEFFERSON','AL','35235',33.59526552,-86.66531867
'010104','TRINITY MEDICAL CENTER','800 MONTCLAIR RD','BIRMINGHAM','JEFFERSON','AL','35213',33.51533518,-86.74670548
'010033','UNIVERSITY OF ALABAMA HOSPITAL','619 SOUTH 19TH STREET','BIRMINGHAM','JEFFERSON','AL','35233',33.51235776,-86.89560933
'010006','ELIZA COFFEE MEMORIAL HOSPITAL','205 MARENGO STREET','FLORENCE','LAUDERDALE','AL','35631',34.79503961,-87.68507485
'010059','LAWRENCE MEDICAL CENTER','202 HOSPITAL STREET','MOULTON','LAWRENCE','AL','35650',34.48294598,-87.28600284
'010029','EAST ALABAMA MEDICAL CENTER','2000 PEPPERELL PARKWAY','OPELIKA','LEE','AL','36801',32.63808806,-85.40445273
'010079','ATHENS-LIMESTONE HOSPITAL','700 WEST MARKET STREET','ATHENS','LIMESTONE','AL','35611',34.80357779,-86.9783764
'010131','CRESTWOOD MEDICAL CENTER','ONE HOSPITAL DR SE','HUNTSVILLE','MADISON','AL','35801',34.69247331,-86.57259625
'010039','HUNTSVILLE HOSPITAL','101 SIVLEY RD','HUNTSVILLE','MADISON','AL','35801',34.72108062,-86.58128516
'010112','BRYAN W WHITFIELD MEM HOSP INC','105 HIGHWAY 80 EAST','DEMOPOLIS','MARENGO','AL','36732',32.50364788,-87.83705446
'010044','MARION REGIONAL MEDICAL CENTER','1256 MILITARY STREET SOUTH','HAMILTON','MARION','AL','35570',34.12668982,-87.98987353
'010086','NORTHWEST MEDICAL CENTER','1530 U S HIGHWAY 43','WINFIELD','MARION','AL','35594',33.92936502,-87.82463747
'010005','MARSHALL MEDICAL CENTER SOUTH','2505 U S HIGHWAY 431 NORTH','BOAZ','MARSHALL','AL','35957',34.22133456,-86.15937515
'010113','MOBILE INFIRMARY','5 MOBILE INFIRMARY CIRCLE','MOBILE','MOBILE','AL','36652',30.69600694,-88.080073
'010090','PROVIDENCE HOSPITAL','6801 AIRPORT BOULEVARD','MOBILE','MOBILE','AL','36608',30.68208913,-88.19924246
'010144','SPRINGHILL MEDICAL CENTER','3719 DAUPHIN STREET','MOBILE','MOBILE','AL','36608',30.68585612,-88.13177287
'013301','UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS','1700 CENTER STREET','MOBILE','MOBILE','AL','36604',30.69622702,-88.07744464
'010087','UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER','2451 FILLINGIM STREET','MOBILE','MOBILE','AL','36617',30.70815314,-88.09899577
'010120','MONROE COUNTY HOSPITAL',"'2016 SOUTH ALABAMA AVENUE, BOX 886'",'MONROEVILLE','MONROE','AL','36460',31.49838524,-87.3192329
'010149','BAPTIST MEDICAL CENTER EAST','400 TAYLOR ROAD','MONTGOMERY','MONTGOMERY','AL','36117',32.37635762,-86.17186896
'010023','BAPTIST MEDICAL CENTER SOUTH','2105 EAST SOUTH BOULEVARD','MONTGOMERY','MONTGOMERY','AL','36116',32.32718606,-86.27659061
'010024','JACKSON HOSPITAL & CLINIC INC','1725 PINE STREET','MONTGOMERY','MONTGOMERY','AL','36106',32.36658118,-86.28577144
'01019F','VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY','215 PERRY HILL ROAD','MONTGOMERY','MONTGOMERY','AL','36109',32.37989607,-86.24662606
'010085','DECATUR MORGAN HOSPITAL-DECATUR CAMPUS','1201 7TH STREET SE','DECATUR','MORGAN','AL','35601',34.59115555,-86.97263927
'010054','DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS','1874 BELTLINE RD SW','DECATUR','MORGAN','AL','35601',34.57574903,-87.01654569
'010109','PICKENS COUNTY MEDICAL CENTER','241 ROBERT K WILSON DRIVE','CARROLLTON','PICKENS','AL','35447',33.27475081,-88.08964716
'010126','TROY REGIONAL MEDICAL CENTER','1330 HIGHWAY 231 SOUTH','TROY','PIKE','AL','36081',31.78039544,-85.94585267
'010032','WEDOWEE HOSPITAL','209 NORTH MAIN STREET','WEDOWEE','RANDOLPH','AL','36278',33.31155058,-85.48497697
'010168','JACK HUGHSTON MEMORIAL HOSPITAL','4401 RIVER CHASE DRIVE','PHENIX CITY','RUSSELL','AL','36867',32.50912511,-85.00575019
'010130','ST VINCENT'S ST CLAIR','7063 VETERANS PARKWAY','PELL CITY','SAINT CLAIR','AL','35125',33.60499968,-86.30046998
'010016','SHELBY BAPTIST MEDICAL CENTER','1000 FIRST STREET NORTH','ALABASTER','SHELBY','AL','35007',33.25442932,-86.81407933
'010138','HILL HOSPITAL OF SUMTER COUNTY','751 DERBY DRIVE','YORK','SUMTER','AL','36925',32.49162271,-88.29593629
'010164','COOSA VALLEY MEDICAL CENTER','315 W HICKORY ST','SYLACAUGA','TALLADEGA','AL','35150',33.16464547,-86.25412047
'010101','CITIZENS BAPTIST MEDICAL CENTER','604 STONE AVENUE','TALLADEGA','TALLADEGA','AL','35161',33.43980936,-86.09087857
'010065','RUSSELL HOSPITAL','3316 HIGHWAY 280','ALEXANDER CITY','TALLAPOOSA','AL','35010',32.93133495,-85.96878845
'010052','LAKE MARTIN COMMUNITY HOSPITAL','201 MARIARDEN ROAD','DADEVILLE','TALLAPOOSA','AL','36853',32.81867788,-85.74161727
'010092','D C H REGIONAL MEDICAL CENTER','809 UNIVERSITY BOULEVARD EAST','TUSCALOOSA','TUSCALOOSA','AL','35401',33.20617336,-87.52548322
'01021F','TUSCALOOSA VA MEDICAL CENTER','3701 LOOP ROAD','TUSCALOOSA','TUSCALOOSA','AL','35404',33.19321287,-87.48836588
'010089','WALKER BAPTIST MEDICAL CENTER','3400 HIGHWAY 78 EAST','JASPER','WALKER','AL','35502',33.84104874,-87.23655599
'011300','WASHINGTON COUNTY HOSPITAL','14600 ST. STEPHENS AVENUE','CHATOM','WASHINGTON','AL','36518',31.45957369,-88.23330174
'010102','J PAUL JONES HOSPITAL','317 MCWILLIAMS AVENUE','CAMDEN','WILCOX','AL','36726',31.9980709,-87.29947925
'010125','LAKELAND COMMUNITY HOSPITAL','42024 HIGHWAY 195 E     POST OFFICE BOX 780','HALEYVILLE','WINSTON','AL','35565',34.2410992,-87.59093156
'041314',"'DEWITT HOSPITAL & NURSING HOME, INC'",'1641 WHITEHEAD DRIVE','DE WITT','ARKANSAS','AR','72042',34.27913498,-91.33756226
'040072','BAPTIST HEALTH MEDICAL CENTER-STUTTGART','1703 NORTH BUERKLE ROAD','STUTTGART','ARKANSAS','AR','72160',34.51770168,-91.55757424
'041323','ASHLEY COUNTY MEDICAL CENTER','1015 UNITY ROAD','CROSSETT','ASHLEY','AR','71635',33.13762948,-91.93947587
'040027','BAXTER REGIONAL MEDICAL CENTER','624 HOSPITAL DRIVE','MOUNTAIN HOME','BAXTER','AR','72653',36.34296332,-92.39518057
'041331','OZARKS COMMUNITY HOSPITAL OF GRAVETTE','1101 JACKSON STREET SW','GRAVETTE','BENTON','AR','72736',36.40827811,-94.46055009
'040010','MERCY HOSPITAL NORTHWEST ARKANSAS','2710 RIFE MEDICAL LANE','ROGERS','BENTON','AR','72758',36.31155915,-94.18375432
'040001','SILOAM SPRINGS REGIONAL HOSPITAL','603 NORTH PROGRESS AVENUE','SILOAM SPRINGS','BENTON','AR','72761',36.1899544,-94.5096876
'040017','NORTH ARKANSAS REGIONAL MEDICAL CENTER','620 NORTH MAIN STREET','HARRISON','BOONE','AR','72601',36.23580825,-93.10718851
'041327','BRADLEY COUNTY MEDICAL CENTER','404 SOUTH BRADLEY STREET','WARREN','BRADLEY','AR','71671',33.61062379,-92.05871625
'041329','MERCY HOSPITAL BERRYVILLE','214 CARTER STREET','BERRYVILLE','CARROLL','AR','72616',36.35911715,-93.55125152
'041328','CHICOT MEMORIAL MEDICAL CENTER','2729 SOUTH HIGHWAY 65 & 82','LAKE VILLAGE','CHICOT','AR','71653',33.33065344,-91.28176826
'041321','BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA','3050 TWIN RIVERS DRIVE','ARKADELPHIA','CLARK','AR','71923',34.12314541,-93.08851661
'041330','PIGGOTT COMMUNITY HOSPITAL','1206 GORDON DUCKWORTH DRIVE','PIGGOTT','CLAY','AR','72454',36.3904789,-90.2022443
'041312','BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS','1800 BYPASS ROAD','HEBER SPRINGS','CLEBURNE','AR','72543',35.50438665,-92.0007454
'040067','MAGNOLIA HOSPITAL','101 HOSPITAL DRIVE','MAGNOLIA','COLUMBIA','AR','71754',33.27509364,-93.23969137
'041324','ST VINCENT MORRILTON','#4 HOSPITAL DRIVE','MORRILTON','CONWAY','AR','72110',35.16786188,-92.72018472
'040118','NEA BAPTIST MEMORIAL HOSPITAL','4800 EAST JOHNSON AVENUE','JONESBORO','CRAIGHEAD','AR','72401',35.86424885,-90.63899684
'040020','ST BERNARDS MEDICAL CENTER','225 E JACKSON','JONESBORO','CRAIGHEAD','AR','72401',35.83743875,-90.70278664
'040018','SUMMIT MEDICAL CENTER','EAST MAIN AND SOUTH 20TH STREET','VAN BUREN','CRAWFORD','AR','72956',35.4365208,-94.33810811
'040042','CRITTENDEN MEMORIAL HOSPITAL','200 TYLER','WEST MEMPHIS','CRITTENDEN','AR','72301',35.14403262,-90.19450346
'041307','CROSSRIDGE COMMUNITY HOSPITAL','310 SOUTH FALLS BOULEVARD','WYNNE','CROSS','AR','72396',35.2210527,-90.78737229
'041317','DALLAS COUNTY MEDICAL CENTER','201 CLIFTON STREET','FORDYCE','DALLAS','AR','71742',33.80891183,-92.42538417
'041326','DELTA MEMORIAL HOSPITAL','300 EAST PICKENS','DUMAS','DESHA','AR','71639',33.88754073,-91.4899358
'041308','MCGEHEE HOSPITAL','900 SOUTH THIRD STREET','MCGEHEE','DESHA','AR','71654',33.63500656,-91.40209455
'040051','DREW MEMORIAL HOSPITAL','778 SCOGIN DRIVE','MONTICELLO','DREW','AR','71655',33.61111082,-91.81497828
'040029','CONWAY REGIONAL MEDICAL CENTER','2302 COLLEGE AVENUE','CONWAY','FAULKNER','AR','72034',35.08489668,-92.45915632
'041303','MERCY HOSPITAL TURNER MEMORIAL','801 WEST RIVER STREET','OZARK','FRANKLIN','AR','72949',35.48600914,-93.83323213
'041322','FULTON COUNTY HOSPITAL','679 NORTH MAIN STREET','SALEM','FULTON','AR','72576',36.38364637,-91.81055129
'040132','LEO N LEVI NATIONAL ARTHRITIS HOSPITAL','300 PROSPECT AVE','HOT SPRINGS','GARLAND','AR','71901',34.50962649,-93.05747183
'040078','NATIONAL PARK MEDICAL CENTER','1910 MALVERN AVENUE','HOT SPRINGS','GARLAND','AR','71901',34.48563368,-93.03320593
'040026','ST JOSEPHS MERCY HEALTH CENTER INC','300 WERNER STREET','HOT SPRINGS','GARLAND','AR','71903',34.46616818,-93.06434404
'040039','ARKANSAS METHODIST MEDICAL CENTER','900 WEST KINGSHIGHWAY','PARAGOULD','GREENE','AR','72450',36.05255258,-90.49840948
'040153','WADLEY REGIONAL MEDICAL CENTER AT HOPE','2001 SOUTH MAIN','HOPE','HEMPSTEAD','AR','71801',33.64899252,-93.58704805
'040076','BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY','1001 SCHNEIDER DRIVE','MALVERN','HOT SPRING','AR','72104',34.36005034,-92.78573655
'041311','HOWARD MEMORIAL HOSPITAL','130 MEDICAL CIRCLE','NASHVILLE','HOWARD','AR','71852',33.95005631,-93.87839404
'040119','WHITE RIVER MEDICAL CENTER','1710 HARRISON STREET','BATESVILLE','INDEPENDENCE','AR','72503',35.76958198,-91.63575813
'041306','COMMUNITY MEDICAL CENTER IZARD COUNTY','103 GRASSE STREET','CALICO ROCK','IZARD','AR','72519',36.12736334,-92.12866497
'040080','HARRIS HOSPITAL','1205 MCLAIN STREET','NEWPORT','JACKSON','AR','72112',35.60809789,-91.26476906
'040071','JEFFERSON REGIONAL MEDICAL CENTER','1600 WEST 40TH AVENUE','PINE BLUFF','JEFFERSON','AR','71603',34.18911465,-92.01825714
'040002','JOHNSON REGIONAL MEDICAL CENTER','1100 EAST POPLAR STREET','CLARKSVILLE','JOHNSON','AR','72830',35.46439977,-93.44588867
'041309','LAWRENCE MEMORIAL HOSPITAL','1309 WEST MAIN','WALNUT RIDGE','LAWRENCE','AR','72476',36.07472111,-90.96811734
'041320','LITTLE RIVER MEMORIAL HOSPITAL','451 WEST LOCKE STREET','ASHDOWN','LITTLE RIVER','AR','71822',33.66926275,-94.12515081
'041318','MERCY HOSPITAL BOONEVILLE','880 WEST MAIN','BOONEVILLE','LOGAN','AR','72927',35.14098786,-93.93489688
'041300','NORTH LOGAN MERCY HOSPITAL','500 EAST ACADEMY','PARIS','LOGAN','AR','72855',35.28996994,-93.72557884
'040069','GREAT RIVER MEDICAL CENTER','1520 N DIVISION STREET','BLYTHEVILLE','MISSISSIPPI','AR','72315',35.94156278,-89.91889328
'041316','SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER','611 WEST LEE AVENUE','OSCEOLA','MISSISSIPPI','AR','72370',35.70021361,-89.9756607
'040050','OUACHITA COUNTY MEDICAL CENTER','638 CALIFORNIA AVENUE','CAMDEN','OUACHITA','AR','71701',33.57329038,-92.83545443
'040085','HELENA REGIONAL MEDICAL CENTER','1801 MARTIN LUTHER KING DRIVE','HELENA','PHILLIPS','AR','72342',34.50843221,-90.62733774
'040015','MENA REGIONAL HEALTH SYSTEM','311 NORTH MORROW STREET','MENA','POLK','AR','71953',34.58906941,-94.22244718
'040041','ST MARYS REGIONAL MEDICAL CENTER','1808 WEST MAIN STREET','RUSSELLVILLE','POPE','AR','72801',35.2828675,-93.14977191
'040074','NORTH METRO MEDICAL CENTER','1400 BRADEN STREET','JACKSONVILLE','PULASKI','AR','72076',34.87241781,-92.12487024
'043300','ARKANSAS CHILDREN'S HOSPITAL','800 MARSHALL STREET SLOT 301','LITTLE ROCK','PULASKI','AR','72202',34.74344007,-92.29149483
'040134','ARKANSAS HEART HOSPITAL','1701 S SHACKLEFORD ROAD','LITTLE ROCK','PULASKI','AR','72211',34.73753861,-92.39446731
'040114','BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK',"'9601 INTERSTATE 630, EXIT 7'",'LITTLE ROCK','PULASKI','AR','72205',34.74865032,-92.27448967
'040007','ST VINCENT INFIRMARY MEDICAL CENTER','TWO ST VINCENT CIRCLE','LITTLE ROCK','PULASKI','AR','72205',34.75190411,-92.33741152
'040016','UAMS MEDICAL CENTER','4301 WEST MARKHAM STREET MAIL SLOT 612','LITTLE ROCK','PULASKI','AR','72205',34.75154161,-92.3207778
'04010F','VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR','4300 WEST SEVENTH STREET','LITTLE ROCK','PULASKI','AR','72205',34.74500322,-92.32195186
'040147','ARKANSAS SURGICAL HOSPITAL','5201 NORTH SHORE DRIVE','NO LITTLE ROCK','PULASKI','AR','72118',34.80163429,-92.34824929
'040036','BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK','3333 SPRINGHILL DRIVE','NORTH LITTLE ROCK','PULASKI','AR','72117',34.78341793,-92.21825286
'040137','ST VINCENT MEDICAL CENTER/NORTH','2215 WILDWOOD AVENUE','SHERWOOD','PULASKI','AR','72120',34.81435318,-92.20719155
'040047','FIVE RIVERS MEDICAL CENTER','2801 MEDICAL CENTER DRIVE','POCAHONTAS','RANDOLPH','AR','72455',36.28997103,-90.99769664
'040019','FORREST CITY MEDICAL CENTER','1601 NEWCASTLE ROAD','FORREST CITY','SAINT FRANCIS','AR','72335',35.0394883,-90.7718372
'040084','SALINE MEMORIAL HOSPITAL','#1 MEDICAL PARK DRIVE','BENTON','SALINE','AR','72015',34.57444971,-92.58438254
'041305','ST EDWARD HEALTH FACILITIES OF SCOTT COUNTY','1341 WEST SIXTH STREET','WALDRON','SCOTT','AR','72958',34.89675669,-94.10568928
'040055','SPARKS REGIONAL MEDICAL CENTER','1001 TOWSON AVENUE','FORT SMITH','SEBASTIAN','AR','72902',35.37432987,-94.42129645
'040062','ST EDWARD MERCY MEDICAL CENTER','7301 ROGERS AVE','FORT SMITH','SEBASTIAN','AR','72917',35.3536856,-94.35299526
'041319',"'DE QUEEN MEDICAL CENTER, INC'",'1306 WEST COLLIN RAYE DRIVE','DE QUEEN','SEVIER','AR','71832',34.04559494,-94.36377166
'041310','STONE COUNTY MEDICAL CENTER','HIGHWAY 14 EAST','MOUNTAIN VIEW','STONE','AR','72560',35.86171393,-92.09506904
'040088','MEDICAL CENTER SOUTH ARKANSAS','700 WEST GROVE STREET','EL DORADO','UNION','AR','71731',33.21840734,-92.67236527
'041313','OZARK HEALTH','2500 HIGHWAY 65 SOUTH','CLINTON','VAN BUREN','AR','72031',35.55968132,-92.4500119
'04009F','FAYETTEVILLE AR VA MEDICAL CENTER','1100 N. COLLEGE AVENUE','FAYETTEVILLE','WASHINGTON','AR','72703',36.07729059,-94.15703953
'040152','PHYSICIANS' SPECIALTY HOSPITAL','3873 NORTH PARKVIEW DRIVE','FAYETTEVILLE','WASHINGTON','AR','72703',36.12128043,-94.13377449
'040004','WASHINGTON REGIONAL MED CTR AT NORTH HILLS','3215 N NORTH HILLS BLVD','FAYETTEVILLE','WASHINGTON','AR','72703',36.11084882,-94.15791479
'040022','NORTHWEST MEDICAL CENTER-SPRINGDALE','609 WEST MAPLE AVENUE','SPRINGDALE','WASHINGTON','AR','72764',36.18136271,-94.13665058
'040014','WHITE COUNTY MEDICAL CENTER','3214 EAST RACE AVENUE','SEARCY','WHITE','AR','72143',35.25044602,-91.69461539
