ccn,hospital,city,county,state,latitude,longitude,year,Domain_1_Score,AHRQ_PSI_90_Score,Domain_1_Start_Date,Domain_1_End_Date,Domain_2_Score,CLABSI_Score,CAUTI_Score,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score
010129,NORTH BALDWIN INFIRMARY,BAY MINETTE,BALDWIN,AL,30.90193608800007, -87.78311330099996,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,5,0,5,01/01/2012 00:00:00,12/31/2013 00:00:00,5.35
010100,THOMAS HOSPITAL,FAIRHOPE,BALDWIN,AL,30.519966314000044, -87.88950804299998,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,4,2,6,01/01/2012 00:00:00,12/31/2013 00:00:00,6.1
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,BALDWIN,AL,30.425680471000078, -87.68324211899994,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,6,7,5,01/01/2012 00:00:00,12/31/2013 00:00:00,6.7
010069,MEDICAL CENTER BARBOUR,EUFAULA,BARBOUR,AL,31.88801827700007, -85.15606109899994,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,1.7
010058,BIBB MEDICAL CENTER,CENTREVILLE,BIBB,AL,32.95133452600004, -87.14764515199994,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,7
010110,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,BULLOCK,AL,32.14614261200006, -85.71266859199994,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010047,GEORGIANA MEDICAL CENTER,GEORGIANA,BUTLER,AL,31.636361081000075, -86.74277274699995,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010150,L V STABLER MEMORIAL HOSPITAL,GREENVILLE,BUTLER,AL,31.829742777000035, -86.64611473899998,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,4
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,CALHOUN,AL,33.657087741000055, -85.83513073199998,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,6,8,4,01/01/2012 00:00:00,12/31/2013 00:00:00,7.4
010038,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,CALHOUN,AL,33.66768739300005, -85.82468952899995,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,3,0,3,01/01/2012 00:00:00,12/31/2013 00:00:00,3.7
010146,RMC JACKSONVILLE,JACKSONVILLE,CALHOUN,AL,33.78560261500007, -85.76124893499997,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010022,CHEROKEE MEDICAL CENTER,CENTRE,CHEROKEE,AL,34.16275020900002, -85.64348979299996,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,5
010091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,CLARKE,AL,31.69477711500008, -87.77707493799994,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,5
010128,JACKSON MEDICAL CENTER,JACKSON,CLARKE,AL,31.530602078000072, -87.89346675299998,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010073,CLAY COUNTY HOSPITAL,ASHLAND,CLAY,AL,33.27665890500003, -85.82361169599994,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,2.4
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,COFFEE,AL,31.318719619000035, -85.85572776899994,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,1.7
010157,SHOALS HOSPITAL,MUSCLE SHOALS,COLBERT,AL,34.744994844000075, -87.67642553599995,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,8.5,9,8,01/01/2012 00:00:00,12/31/2013 00:00:00,6.575
010019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,COLBERT,AL,34.74643089500006, -87.69893502799994,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,1,1,1,01/01/2012 00:00:00,12/31/2013 00:00:00,1.7
010148,EVERGREEN MEDICAL CENTER,EVERGREEN,CONECUH,AL,31.43103941800007, -86.94130531699994,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,5
010036,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,COVINGTON,AL,31.297978657000044, -86.49481434799998,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,7,0,7,01/01/2012 00:00:00,12/31/2013 00:00:00,6.65
010007,MIZELL MEMORIAL HOSPITAL,OPP,COVINGTON,AL,31.292159523000066, -86.25539902199995,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,3.1
010008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,CRENSHAW,AL,31.693116349000036, -86.26549482999997,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,CULLMAN,AL,34.19859606700004, -86.80404845899994,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,1.5,1,2,01/01/2012 00:00:00,12/31/2013 00:00:00,2.025
010021,DALE MEDICAL CENTER,OZARK,DALE,AL,31.451350713000068, -85.63094293699999,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,5,0,5,01/01/2012 00:00:00,12/31/2013 00:00:00,6.05
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,DALLAS,AL,32.43003551100003, -87.05490514999997,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,3.5,1,6,01/01/2012 00:00:00,12/31/2013 00:00:00,3.325
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,DE KALB,AL,34.44060759100006, -85.75726760699996,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,3.8
010034,COMMUNITY HOSPITAL INC,TALLASSEE,ELMORE,AL,32.534927776000075, -85.90985375199995,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,1.7
010097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,ELMORE,AL,32.55226755500007, -86.18703624199998,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010169,ATMORE COMMUNITY HOSPITAL,ATMORE,ESCAMBIA,AL,31.017000387000053, -87.47965811999995,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,5,0,5,01/01/2012 00:00:00,12/31/2013 00:00:00,5.7
010099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,ESCAMBIA,AL,31.127213651000034, -87.07247839899998,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,2.75
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,ETOWAH,AL,34.00938024200008, -85.96778839099994,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,3,3,3,01/01/2012 00:00:00,12/31/2013 00:00:00,3.7
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,ETOWAH,AL,34.00337850600005, -86.00409109099996,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,8.5,9,8,01/01/2012 00:00:00,12/31/2013 00:00:00,5.875
010045,FAYETTE MEDICAL CENTER,FAYETTE,FAYETTE,AL,33.70769618400004, -87.82377536299998,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,6,0,6,01/01/2012 00:00:00,12/31/2013 00:00:00,6.7
010158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,FRANKLIN,AL,34.511260994000054, -87.71760501499995,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,9,0,9,01/01/2012 00:00:00,12/31/2013 00:00:00,9
010062,WIREGRASS MEDICAL CENTER,GENEVA,GENEVA,AL,31.04804746900004, -85.89112586699997,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,6,0,6,01/01/2012 00:00:00,12/31/2013 00:00:00,5.3
010051,GREENE COUNTY HOSPITAL,EUTAW,GREENE,AL,32.84235320400006, -87.89002235799995,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,7
010095,HALE COUNTY HOSPITAL,GREENSBORO,HALE,AL,32.694750111000076, -87.58692229699994,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,7
010055,FLOWERS HOSPITAL,DOTHAN,HOUSTON,AL,31.235826770000074, -85.45721340799997,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,6.5,6,7,01/01/2012 00:00:00,12/31/2013 00:00:00,6.325
010001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,HOUSTON,AL,31.21537937900007, -85.36146587999997,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,9,9,9,01/01/2012 00:00:00,12/31/2013 00:00:00,6.9
010061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,JACKSON,AL,34.66168264100003, -86.04673208299994,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,10,0,10,01/01/2012 00:00:00,12/31/2013 00:00:00,9.3
010114,MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM,BESSEMER,JEFFERSON,AL,33.372921218000045, -86.99182809099995,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,2.5,2,3,01/01/2012 00:00:00,12/31/2013 00:00:00,5.125
010103,BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,JEFFERSON,AL,33.499166366000054, -86.84589505599996,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,3,3,3,01/01/2012 00:00:00,12/31/2013 00:00:00,5.45
010139,BROOKWOOD MEDICAL CENTER,BIRMINGHAM,JEFFERSON,AL,33.46306652900006, -86.77656110699996,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,7,7,7,01/01/2012 00:00:00,12/31/2013 00:00:00,7.7
010018,CALLAHAN EYE HOSPITAL,BIRMINGHAM,JEFFERSON,AL,33.503140150000036, -86.80242858299994,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,JEFFERSON,AL,33.50797325600007, -86.78874763899995,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,5,4,01/01/2012 00:00:00,12/31/2013 00:00:00,3.275
010011,ST VINCENT'S EAST,BIRMINGHAM,JEFFERSON,AL,33.59526551700003, -86.66531866799994,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,7,9,5,01/01/2012 00:00:00,12/31/2013 00:00:00,4.9
010104,TRINITY MEDICAL CENTER,BIRMINGHAM,JEFFERSON,AL,33.51533518400004, -86.74670548499995,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,4,5,01/01/2012 00:00:00,12/31/2013 00:00:00,6.425
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,JEFFERSON,AL,33.51235776000004, -86.89560932699999,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,8,9,7,01/01/2012 00:00:00,12/31/2013 00:00:00,8
010006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,LAUDERDALE,AL,34.795039605000056, -87.68507485399994,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,4,5,3,01/01/2012 00:00:00,12/31/2013 00:00:00,4.35
010059,LAWRENCE MEDICAL CENTER,MOULTON,LAWRENCE,AL,34.482945975000064, -87.28600283599997,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,5
010029,EAST ALABAMA MEDICAL CENTER,OPELIKA,LEE,AL,32.63808805900004, -85.40445272799997,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,9.5,9,10,01/01/2012 00:00:00,12/31/2013 00:00:00,8.275
010079,ATHENS-LIMESTONE HOSPITAL,ATHENS,LIMESTONE,AL,34.80357778700005, -86.97837640099993,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,8,10,6,01/01/2012 00:00:00,12/31/2013 00:00:00,6.25
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,MADISON,AL,34.692473310000025, -86.57259625099994,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,8,10,6,01/01/2012 00:00:00,12/31/2013 00:00:00,7.3
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,MADISON,AL,34.72108061800003, -86.58128515799996,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,8,9,7,01/01/2012 00:00:00,12/31/2013 00:00:00,8
010112,BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,MARENGO,AL,32.50364788300004, -87.83705445699997,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,5
010044,MARION REGIONAL MEDICAL CENTER,HAMILTON,MARION,AL,34.12668982400004, -87.98987352799998,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,4
010086,NORTHWEST MEDICAL CENTER,WINFIELD,MARION,AL,33.929365020000034, -87.82463746799993,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,4
010005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,MARSHALL,AL,34.221334555000055, -86.15937514699993,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,2,1,3,01/01/2012 00:00:00,12/31/2013 00:00:00,1.65
010113,MOBILE INFIRMARY,MOBILE,MOBILE,AL,30.69600693800004, -88.08007299599996,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,3,6,01/01/2012 00:00:00,12/31/2013 00:00:00,5.725
010090,PROVIDENCE HOSPITAL,MOBILE,MOBILE,AL,30.68208912600005, -88.19924246199997,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,3.5,3,4,01/01/2012 00:00:00,12/31/2013 00:00:00,5.425
010144,SPRINGHILL MEDICAL CENTER,MOBILE,MOBILE,AL,30.685856122000075, -88.13177286999996,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,6.5,4,9,01/01/2012 00:00:00,12/31/2013 00:00:00,7.375
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,MOBILE,AL,30.708153140000036, -88.09899576799995,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,7,5,9,01/01/2012 00:00:00,12/31/2013 00:00:00,8.05
010120,MONROE COUNTY HOSPITAL,MONROEVILLE,MONROE,AL,31.49838524300003, -87.31923289899999,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,2.75
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,MONTGOMERY,AL,32.376357615000074, -86.17186895999998,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,4,5,01/01/2012 00:00:00,12/31/2013 00:00:00,3.275
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,MONTGOMERY,AL,32.32718605800005, -86.27659061099996,2015,2,2,07/01/2011 00:00:00,06/30/2013 00:00:00,5.5,6,5,01/01/2012 00:00:00,12/31/2013 00:00:00,4.275
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,MONTGOMERY,AL,32.36658118200006, -86.28577143999996,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,7,9,5,01/01/2012 00:00:00,12/31/2013 00:00:00,5.6
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,MORGAN,AL,34.59115554700003, -86.97263926799997,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,5,7,3,01/01/2012 00:00:00,12/31/2013 00:00:00,5.35
010054,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,DECATUR,MORGAN,AL,34.57574902700003, -87.01654568799995,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,3,0,3,01/01/2012 00:00:00,12/31/2013 00:00:00,3
010109,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,PICKENS,AL,33.274750813000026, -88.08964716199995,2015,3,3,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,3
010126,TROY REGIONAL MEDICAL CENTER,TROY,PIKE,AL,31.780395441000053, -85.94585267399998,2015,2,2,07/01/2011 00:00:00,06/30/2013 00:00:00,5,0,5,01/01/2012 00:00:00,12/31/2013 00:00:00,3.95
010032,WEDOWEE HOSPITAL,WEDOWEE,RANDOLPH,AL,33.31155057800004, -85.48497697399995,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,5
010168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,RUSSELL,AL,32.509125106000056, -85.00575018799998,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,4
010130,ST VINCENT'S ST CLAIR,PELL CITY,SAINT CLAIR,AL,33.604999676000034, -86.30046997699998,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,5.5,1,10,01/01/2012 00:00:00,12/31/2013 00:00:00,5.325
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,SHELBY,AL,33.25442932200008, -86.81407933399998,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,3,3,3,01/01/2012 00:00:00,12/31/2013 00:00:00,4.4
010138,HILL HOSPITAL OF SUMTER COUNTY,YORK,SUMTER,AL,32.49162270900007, -88.29593628999999,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,TALLADEGA,AL,33.164645473000064, -86.25412046599996,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,1,1,1,01/01/2012 00:00:00,12/31/2013 00:00:00,3.8
010101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,TALLADEGA,AL,33.43980936100007, -86.09087857499998,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,3.8
010065,RUSSELL HOSPITAL,ALEXANDER CITY,TALLAPOOSA,AL,32.931334950000064, -85.96878845399993,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,1,1,1,01/01/2012 00:00:00,12/31/2013 00:00:00,3.45
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,TALLAPOOSA,AL,32.81867788400007, -85.74161727099994,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
010092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,TUSCALOOSA,AL,33.20617336400005, -87.52548321599994,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,6,6,6,01/01/2012 00:00:00,12/31/2013 00:00:00,7.05
010089,WALKER BAPTIST MEDICAL CENTER,JASPER,WALKER,AL,33.84104873800004, -87.23655598599998,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,4,1,7,01/01/2012 00:00:00,12/31/2013 00:00:00,5.75
010102,J PAUL JONES HOSPITAL,CAMDEN,WILCOX,AL,31.99807089600006, -87.29947924799995,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,7
010125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,WINSTON,AL,34.241099199000075, -87.59093156099999,2015,6,6,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,6
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,ARKANSAS,AR,34.51770167800004, -91.55757424499996,2015,7,7,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,7
040027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,BAXTER,AR,36.342963317000056, -92.39518057199996,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,4.5,1,8,01/01/2012 00:00:00,12/31/2013 00:00:00,3.275
040010,MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,BENTON,AR,36.311559154000065, -94.18375431699997,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,5.5,8,3,01/01/2012 00:00:00,12/31/2013 00:00:00,7.075
040001,SILOAM SPRINGS REGIONAL HOSPITAL,SILOAM SPRINGS,BENTON,AR,36.18995440300006, -94.50968759599994,2015,2,2,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,1.35
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,BOONE,AR,36.23580825100004, -93.10718851199994,2015,8,8,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,3.45
040067,MAGNOLIA HOSPITAL,MAGNOLIA,COLUMBIA,AR,33.27509364400004, -93.23969137099994,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,2.05
040118,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,CRAIGHEAD,AR,35.86424885400004, -90.63899683699998,2015,2,2,07/01/2011 00:00:00,06/30/2013 00:00:00,6,8,4,01/01/2012 00:00:00,12/31/2013 00:00:00,4.6
040020,ST BERNARDS MEDICAL CENTER,JONESBORO,CRAIGHEAD,AR,35.83743874800007, -90.70278663899995,2015,9,9,07/01/2011 00:00:00,06/30/2013 00:00:00,9.5,9,10,01/01/2012 00:00:00,12/31/2013 00:00:00,9.325
040018,SUMMIT MEDICAL CENTER,VAN BUREN,CRAWFORD,AR,35.43652079900005, -94.33810810799997,2015,10,10,07/01/2011 00:00:00,06/30/2013 00:00:00,1,0,1,01/01/2012 00:00:00,12/31/2013 00:00:00,4.15
040042,CRITTENDEN MEMORIAL HOSPITAL,WEST MEMPHIS,CRITTENDEN,AR,35.144032622000054, -90.19450346099995,2015,5,5,07/01/2011 00:00:00,06/30/2013 00:00:00,5,5,5,01/01/2012 00:00:00,12/31/2013 00:00:00,5
040051,DREW MEMORIAL HOSPITAL,MONTICELLO,DREW,AR,33.611110824000036, -91.81497827999999,2015,4,4,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,4
040029,CONWAY REGIONAL MEDICAL CENTER,CONWAY,FAULKNER,AR,35.084896678000064, -92.45915631999998,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,6.5,5,8,01/01/2012 00:00:00,12/31/2013 00:00:00,4.575
040132,LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,HOT SPRINGS,GARLAND,AR,34.50962648700005, -93.05747182899995,2015,0,,07/01/2011 00:00:00,06/30/2013 00:00:00,0,0,0,01/01/2012 00:00:00,12/31/2013 00:00:00,0
040078,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,GARLAND,AR,34.48563367500003, -93.03320592599994,2015,1,1,07/01/2011 00:00:00,06/30/2013 00:00:00,9,10,8,01/01/2012 00:00:00,12/31/2013 00:00:00,6.2
